750110 5  7      0.2507322708780748E+00     0.1192218754342065E+00        6.82
750117 5  7      0.2263574907574934E+00     0.2378615001700268E-01        6.56
750124 5  7      0.2479712179714142E+01     0.6963344479125055E-01        5.54
750131 5  7     -0.6054349435841999E+00    -0.2337425836971363E-01        5.78
750207 5  7     -0.8914901306506948E+00     0.7067925603456615E-01        5.35
750214 5  7      0.1357545390167999E+01     0.1161649517816130E+00        5.24
750221 5  7      0.7411352612998456E+00     0.5769551450642041E-01        4.69
750228 5  7      0.1181416263187316E+01     0.7979496758814264E-01        5.02
750307 5  7     -0.2458713174817546E+01     0.1051351957255236E+00        5.13
750314 5  7      0.7683679634278491E+00     0.1158740183187916E+00        5.28
750321 5  7      0.0000000000000000E+00     0.1043064685632942E+00        5.30
750327 4  6     -0.1424925683496696E+01     0.1410460266684481E+00        5.38
750404 5  8     -0.9930702605776248E+00     0.2610569796370044E+00        5.51
750411 5  7     -0.4763599157769818E+00     0.2146814357833051E+00        5.37
750418 5  7      0.1312279767997353E+00     0.1072561211739043E+00        5.27
750425 5  7     -0.1191024874117374E-01     0.1429746991216518E+00        5.35
750502 5  7      0.1191663699150780E+00     0.1190143001734470E+00        5.18
750509 5  7      0.9246146115088010E+00     0.9437126591051026E-01        5.27
750516 5  7      0.1886194000714880E+00    -0.1180179439589324E-01        5.16
750523 5  7      0.1263900026153280E+01     0.6976221347417777E-01        5.05
750530 5  7     -0.7002100353280696E+00     0.1053413181435161E+00        5.02
750606 5  7     -0.1406237765564810E+00     0.1289260325854116E+00        5.13
750613 5  7      0.4913370027077946E+00     0.9331707713012350E-01        5.04
750620 5  7     -0.3507132261513135E+00     0.5855197423579739E-01        5.72
750627 5  7     -0.3166791476192117E+00     0.1291252540888053E+00        5.76
750703 4  6     -0.1574851656813052E+01     0.2265312530857812E+00        5.83
750711 5  8     -0.2049718576501917E+01     0.2676429224382133E+00        5.86
750718 5  7     -0.2616484381638472E+01     0.2497780861064456E+00        5.88
750725 5  7     -0.7027006836662082E+00     0.2263760560639412E+00        6.12
750801 5  7     -0.1855679595334692E+01     0.2562378863694619E+00        6.14
750808 5  7     -0.6693332555156957E+00     0.3866965693495388E+00        6.26
750815 5  7      0.3609712472525360E+00     0.4109188407514921E+00        6.16
