 673.3  5.240 0.2396
 652.0  5.380 0.2455
 712.8  4.840 0.2499
 656.0  5.510 0.2690
 711.6  5.610 0.2764
 674.1  4.320 0.2337
 737.8  4.250 0.2073
 740.8  4.270 0.2029
 721.6  4.220 0.2014
 770.8  4.880 0.2205
 833.1  6.080 0.2352
 846.6  6.100 0.3058
 931.0  7.070 0.3440
 877.6  8.120 0.3631
 943.4  8.460 0.3910
 955.6  6.680 0.3440
 970.2  8.430 0.3690
 1056.  9.870 0.4292
 1057.  9.560 0.4910
 973.9  6.850 0.4469
 1066.  9.060 0.4866
 1048.  10.08 0.5233
 1106.  9.270 0.5292
 1091.  9.120 0.5380
 1111.  9.300 0.5307
 1093.  8.370 0.4704
 1044.  7.480 0.4822
 1126.  9.330 0.6292
 1091.  9.570 0.7938
 1118.  7.210 0.6453
 1149.  7.850 0.5983
 1173.  8.830 0.5792
 1243.  7.110 0.5263
 1250.  7.300 0.5777
 1306.  8.900 0.6027
 1380.  8.830 0.6277
 1296.  10.58 0.6850
 1376.  12.65 0.6900
 1406.  13.40 0.7700
 1428.  17.53 0.8500
 1490.  24.86 0.9700
 1421.  21.71 0.9800
 1375.  15.98 0.8200
 1259.  8.300 0.5000
 1226.  7.090 0.4400
 1278.  10.54 0.4500
 1333.  9.260 0.4700
 1446.  13.76 0.7200
 1502.  17.59 0.8000
 1495.  11.31 0.5100
 1535.  12.50 0.6200
 1579.  12.30 0.6700
 1645.  10.55 0.7100
 1672.  8.930 0.5900
 1713.  10.09 0.6100
 1749.  11.85 0.6400
 1834.  13.49 0.6600
 1949.  18.02 0.7100
 1912.  15.21 0.8400
 1908.  14.83 0.9300
 1903.  15.36  1.140
 1943.  16.88  1.470
 1961.  21.21  1.410
 1988.  24.19  1.410
 2013.  26.18  1.450
 2016.  25.46  1.540
 2075.  35.60  1.640
 2120.  44.15  1.740
 2132.  45.43  1.790
 2140.  41.12  1.750
 2201.  55.62  1.830
 2217.  58.03  1.950
 2243.  59.72  2.020
 2290.  69.07  2.130
 2329.  65.06  2.280
 2413.  76.45  2.500
 2495.  86.12  2.720
 2580.  93.32  2.870
 2632.  84.45  2.920
 2720.  95.04  3.070
 2792.  102.0  3.160
 2843.  90.31  3.140
 2882.  93.49  3.070
 2981.  103.3  3.150
 3051.  118.4  3.380
 3041.  96.11  3.600
 3088.  72.56  3.680
 3194.  96.86  4.050
 3298.  103.8  4.670
 3398.  90.25  5.070
 3467.  99.71  5.650
 3489.  110.9  6.160
 3519.  133.0  6.630
 3542.  117.3  6.870
 3631.  144.3  7.090

